assignmentid,stimulus_id,utterance,correct_guess,speaker_id,listener_id,scan_id,instance_type,target_id,tokens,dataset,mentions_target_class,uses_object_lang,uses_spatial_lang,uses_color_lang,uses_shape_lang
13237,scene0492_00-bathroom_stall_door-4-12-10-11-13,find the bathroom stall door farthest away from the chair and sinks,TRUE,288,353,scene0492_00,bathroom stall door,12,"['find', 'the', 'bathroom', 'stall', 'door', 'farthest', 'away', 'from', 'the', 'chair', 'and', 'sinks']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
40697,scene0523_00-toilet_paper-2-5-16,The toilet paper next to the toilet.,TRUE,564,21,scene0523_00,toilet paper,5,"['the', 'toilet', 'paper', 'next', 'to', 'the', 'toilet']",nr3d,TRUE,TRUE,FALSE,FALSE,FALSE
31164,scene0433_00-kitchen_cabinets-3-23-3-21,The highest of the cabinets.,TRUE,564,585,scene0433_00,kitchen cabinets,23,"['the', 'highest', 'of', 'the', 'cabinets']",nr3d,TRUE,TRUE,FALSE,FALSE,FALSE
2702,scene0040_00-keyboard-2-39-10,Many colorful pictures are on the wall facing this keyboard.,TRUE,353,356,scene0040_00,keyboard,39,"['many', 'colorful', 'pictures', 'are', 'on', 'the', 'wall', 'facing', 'this', 'keyboard']",nr3d,TRUE,TRUE,TRUE,TRUE,FALSE
38508,scene0670_00-towel-2-14-13,It is the towel furthest from the windows and sink.,TRUE,56,564,scene0670_00,towel,14,"['it', 'is', 'the', 'towel', 'farthest', 'from', 'the', 'windows', 'and', 'sink']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
13250,scene0056_00-whiteboard-2-21-37,The whiteboard behind the 3 chairs,TRUE,16,714,scene0056_00,whiteboard,21,"['the', 'whiteboard', 'behind', 'the', 'three', 'chairs']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
18234,scene0547_00-picture-2-22-37,the picture over the sofa with the person on it,TRUE,702,501,scene0547_00,picture,22,"['the', 'picture', 'over', 'the', 'sofa', 'with', 'the', 'person', 'on', 'it']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
28235,scene0476_00-radiator-2-21-26,"When facing the window, choose the radiator on the left.",TRUE,308,163,scene0476_00,radiator,21,"['when', 'facing', 'the', 'window', 'choose', 'the', 'radiator', 'on', 'the', 'left']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
29676,scene0253_00-chair-3-14-12-13,The white colored chair at the desks,TRUE,67,648,scene0253_00,chair,14,"['the', 'white', 'colored', 'chair', 'at', 'the', 'desks']",nr3d,TRUE,TRUE,TRUE,TRUE,FALSE
6031,scene0547_00-chair-4-42-7-28-33,The chair that is tucked mostly under the desk on the right.,FALSE,137,132,scene0547_00,chair,42,"['the', 'chair', 'that', 'is', 'tucked', 'mostly', 'under', 'the', 'desk', 'on', 'the', 'right']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
1349,scene0688_00-lamp-2-31-13,the lamp under the hanging clothes,TRUE,459,605,scene0688_00,lamp,31,"['the', 'lamp', 'under', 'the', 'hanging', 'clothes']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
13990,scene0068_00-trash_can-2-3-43,"Facing the sink there are two small trashcans under it, you need to select the trashcan on the left.",TRUE,254,564,scene0068_00,trash can,3,"['facing', 'the', 'sink', 'there', 'are', 'two', 'small', 'trashcans', 'under', 'it', 'you', 'need', 'to', 'select', 'the', 'trashcan', 'on', 'the', 'left']",nr3d,TRUE,TRUE,TRUE,FALSE,TRUE
35848,scene0547_00-shelf-3-3-32-49,the brown shelf next to the person on the couch,TRUE,220,274,scene0547_00,shelf,3,"['the', 'brown', 'shelf', 'next', 'to', 'the', 'person', 'on', 'the', 'couch']",nr3d,TRUE,TRUE,TRUE,TRUE,FALSE
39952,scene0653_00-trash_can-2-23-22,trash can on the left.,TRUE,94,367,scene0653_00,trash can,23,"['trash', 'can', 'on', 'the', 'left']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
13974,scene0426_00-monitor-4-16-37-38-39,the desk has 2 monitors. you're looking for the one standing next to the window,TRUE,140,555,scene0426_00,monitor,16,"['the', 'desk', 'has', 'two', 'monitors', 'you', 'are', 'looking', 'for', 'the', 'one', 'standing', 'next', 'to', 'the', 'window']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
40578,scene0630_00-chair-4-20-5-16-21,The grey chair right behind the man.,TRUE,175,514,scene0630_00,chair,20,"['the', 'grey', 'chair', 'right', 'behind', 'the', 'man']",nr3d,TRUE,TRUE,TRUE,TRUE,FALSE
16478,scene0630_00-box-2-25-27,The small box sitting on top of a blue item near the wall by the whiteboard,TRUE,67,132,scene0630_00,box,25,"['the', 'small', 'box', 'sitting', 'on', 'top', 'of', 'a', 'blue', 'item', 'near', 'the', 'wall', 'by', 'the', 'whiteboard']",nr3d,TRUE,TRUE,TRUE,TRUE,TRUE
3344,scene0222_00-trash_can-3-17-16-34,"the garbage can, not the recycling bin",TRUE,67,670,scene0222_00,trash can,17,"['the', 'garbage', 'can', 'not', 'the', 'recycling', 'bin']",nr3d,TRUE,TRUE,FALSE,FALSE,FALSE
14046,scene0194_00-person-2-23-6,The person laying down sleeping.,TRUE,289,709,scene0194_00,person,23,"['the', 'person', 'laying', 'down', 'sleeping']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
22272,scene0593_00-cabinet-4-17-0-12-18,It is the cabinets under the desk at the window.,TRUE,56,111,scene0593_00,cabinet,17,"['it', 'is', 'the', 'cabinets', 'under', 'the', 'desk', 'at', 'the', 'window']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
6818,scene0594_00-coffee_table-3-8-1-4,The desk with three chairs that's closest to the window.,TRUE,605,367,scene0594_00,coffee table,8,"['the', 'desk', 'with', 'three', 'chairs', 'that', 'is', 'closest', 'to', 'the', 'window']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
2577,scene0024_00-shoes-2-33-32,These shoes are a blue pair of sandals.,TRUE,295,70,scene0024_00,shoes,33,"['these', 'shoes', 'are', 'a', 'blue', 'pair', 'of', 'sandals']",nr3d,TRUE,TRUE,FALSE,TRUE,FALSE
4311,scene0686_00-bathroom_stall_door-2-0-3,The stall door in the back corner of the bathroom,TRUE,596,645,scene0686_00,bathroom stall door,0,"['the', 'stall', 'door', 'in', 'the', 'back', 'corner', 'of', 'the', 'bathroom']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
968,scene0126_00-office_chair-2-30-4,"As you walk in the door, the chair is infront of you to the right.",TRUE,528,132,scene0126_00,office chair,30,"['as', 'you', 'walk', 'in', 'the', 'door', 'the', 'chair', 'is', 'infront', 'of', 'you', 'to', 'the', 'right']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
28445,scene0096_00-mirror-2-43-34,"It is the mirror by the front door, next to the coats.",TRUE,56,562,scene0096_00,mirror,43,"['it', 'is', 'the', 'mirror', 'by', 'the', 'front', 'door', 'next', 'to', 'the', 'coats']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
34604,scene0525_00-cabinet-3-36-35-37,"When facing the door, the tall white cabinet to the right",TRUE,315,579,scene0525_00,cabinet,36,"['when', 'facing', 'the', 'door', 'the', 'tall', 'white', 'cabinet', 'to', 'the', 'right']",nr3d,TRUE,TRUE,TRUE,TRUE,TRUE
17602,scene0110_00-desk-2-14-10,The desk with the red colored backpack on top.,TRUE,620,30,scene0110_00,desk,14,"['the', 'desk', 'with', 'the', 'red', 'colored', 'backpack', 'on', 'top']",nr3d,TRUE,TRUE,TRUE,TRUE,FALSE
20236,scene0181_00-shelf-2-17-18,Choose the shelf that is across from the couch in front of the coffee table.,TRUE,29,537,scene0181_00,shelf,17,"['choose', 'the', 'shelf', 'that', 'is', 'across', 'from', 'the', 'couch', 'in', 'front', 'of', 'the', 'coffee', 'table']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
23226,scene0223_00-trash_can-2-19-20,the white trash can which is closest to the desk.,TRUE,178,396,scene0223_00,trash can,19,"['the', 'white', 'trash', 'can', 'which', 'is', 'closest', 'to', 'the', 'desk']",nr3d,TRUE,TRUE,TRUE,TRUE,FALSE
36828,scene0643_00-desk-4-20-0-31-40,desk to your left of the door,FALSE,175,356,scene0643_00,desk,20,"['desk', 'to', 'your', 'left', 'of', 'the', 'door']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
15529,scene0487_00-window-3-24-1-7,A window behind an armchair which is next to a sofa,TRUE,598,206,scene0487_00,window,24,"['a', 'window', 'behind', 'an', 'armchair', 'which', 'is', 'next', 'to', 'a', 'sofa']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
13908,scene0668_00-pillow-6-16-21-22-23-29-34,"Facing long couch, it's the tilted white pillow at far right.",TRUE,353,388,scene0668_00,pillow,16,"['facing', 'long', 'couch', 'it', 'is', 'the', 'tilted', 'white', 'pillow', 'at', 'far', 'right']",nr3d,TRUE,TRUE,TRUE,TRUE,TRUE
23295,scene0520_00-chair-6-27-14-15-16-25-26,The chair closes to the blue wall.,TRUE,183,268,scene0520_00,chair,27,"['the', 'chair', 'closes', 'to', 'the', 'blue', 'wall']",nr3d,TRUE,TRUE,FALSE,TRUE,FALSE
31245,scene0305_00-telephone-2-33-32,This telephone is closer to the open window.,TRUE,353,714,scene0305_00,telephone,33,"['this', 'telephone', 'is', 'closer', 'to', 'the', 'open', 'window']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
3393,scene0490_00-whiteboard-2-13-14,"looking at the wall with tv from the end of the table, the whiteboard on the right.",TRUE,94,132,scene0490_00,whiteboard,13,"['looking', 'at', 'the', 'wall', 'with', 'tv', 'from', 'the', 'end', 'of', 'the', 'table', 'the', 'whiteboard', 'on', 'the', 'right']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
16484,scene0439_00-kitchen_cabinets-3-10-34-37,The cabinet located near the kitchen stove,TRUE,694,127,scene0439_00,kitchen cabinets,10,"['the', 'cabinet', 'located', 'near', 'the', 'kitchen', 'stove']",nr3d,FALSE,TRUE,TRUE,FALSE,FALSE
14950,scene0136_00-trash_can-2-11-10,The smaller can by the door.,TRUE,469,437,scene0136_00,trash can,11,"['the', 'smaller', 'can', 'by', 'the', 'door']",nr3d,TRUE,TRUE,TRUE,FALSE,TRUE
37552,scene0047_00-cabinet-3-0-16-35,the shorter cabinet on the floor,TRUE,220,132,scene0047_00,cabinet,0,"['the', 'shorter', 'cabinet', 'on', 'the', 'floor']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
36500,scene0322_00-chair-5-5-2-3-4-6,The chair opposite the chair which is tight against the wall.,TRUE,329,564,scene0322_00,chair,5,"['the', 'chair', 'opposite', 'the', 'chair', 'which', 'is', 'tight', 'against', 'the', 'wall']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
899,scene0493_00-table-2-9-8,The table in the middle of the room,TRUE,175,648,scene0493_00,table,9,"['the', 'table', 'in', 'the', 'middle', 'of', 'the', 'room']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
6628,scene0517_00-shelf-2-15-62,shelves above the poster,TRUE,94,553,scene0517_00,shelf,15,"['shelves', 'above', 'the', 'poster']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
21400,scene0259_00-door-2-18-7,The door that's shut not open,TRUE,694,234,scene0259_00,door,18,"['the', 'door', 'that', 'is', 'shut', 'not', 'open']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
27364,scene0474_00-monitor-5-11-10-12-29-41,The monitor directly under the picture on the wall.,TRUE,192,645,scene0474_00,monitor,11,"['the', 'monitor', 'directly', 'under', 'the', 'picture', 'on', 'the', 'wall']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
2630,scene0264_00-trash_can-2-17-19,The small trash can on the floor that is directly to the left of the copier,TRUE,434,564,scene0264_00,trash can,17,"['the', 'small', 'trash', 'can', 'on', 'the', 'floor', 'that', 'is', 'directly', 'to', 'the', 'left', 'of', 'the', 'copier']",nr3d,TRUE,TRUE,TRUE,FALSE,TRUE
1139,scene0141_00-desk-3-12-11-28,"ENTER ROOM FROM THE DOOR, ACROSS FROM YOU IS THE WINDOWS. CHOOSE THE DESK ON THE WALL BY THE WINDOW ON THE LEFT SIDE OF THE ROOM IF YOU STANDING AT THE DOOR. THE DESK YOU WANT HAS THE CHAIR ALL THE Way pushed under it.",TRUE,682,646,scene0141_00,desk,12,"['enter', 'room', 'from', 'the', 'door', 'across', 'from', 'you', 'is', 'the', 'windows', 'choose', 'the', 'desk', 'on', 'the', 'wall', 'by', 'the', 'window', 'on', 'the', 'left', 'side', 'of', 'the', 'room', 'if', 'you', 'standing', 'at', 'the', 'door', 'the', 'desk', 'you', 'want', 'has', 'the', 'chair', 'all', 'the', 'way', 'pushed', 'under', 'it']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
41067,scene0687_00-bottle-2-17-16,The soap dispenser on the right side of the sink,TRUE,67,260,scene0687_00,bottle,17,"['the', 'soap', 'dispenser', 'on', 'the', 'right', 'side', 'of', 'the', 'sink']",nr3d,FALSE,TRUE,TRUE,FALSE,FALSE
16759,scene0068_00-kitchen_counter-2-6-35,"The larger counter, next to the refrigerator.",TRUE,374,585,scene0068_00,kitchen counter,6,"['the', 'larger', 'counter', 'next', 'to', 'the', 'refrigerator']",nr3d,TRUE,TRUE,TRUE,FALSE,TRUE
9160,scene0231_00-sink-2-73-57,Sink located in the kitchen island,TRUE,272,137,scene0231_00,sink,73,"['sink', 'located', 'in', 'the', 'kitchen', 'island']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
5089,scene0368_00-table-4-16-17-18-20,choose the small wooden table by the single chair on the wall with three chairs.,TRUE,356,412,scene0368_00,table,16,"['choose', 'the', 'small', 'wooden', 'table', 'by', 'the', 'single', 'chair', 'on', 'the', 'wall', 'with', 'three', 'chairs']",nr3d,TRUE,TRUE,TRUE,FALSE,TRUE
23275,scene0329_00-table-3-6-7-8,The table with three computer monitors on it.,TRUE,671,714,scene0329_00,table,6,"['the', 'table', 'with', 'three', 'computer', 'monitors', 'on', 'it']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
29650,scene0592_00-table-6-34-32-33-59-60-61,on the back wall select the table to your right,TRUE,175,523,scene0592_00,table,34,"['on', 'the', 'back', 'wall', 'select', 'the', 'table', 'to', 'your', 'right']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
40346,scene0554_00-shelf-2-27-28,This is the 2-level shelf atop the brown desk.,TRUE,353,127,scene0554_00,shelf,27,"['this', 'is', 'the', 'two', 'level', 'shelf', 'atop', 'the', 'brown', 'desk']",nr3d,TRUE,TRUE,TRUE,TRUE,FALSE
6772,scene0030_00-book-3-25-23-24,There is a stand alone bookshelf in the corner between the door and the chalkboard. Select the top row of books on this bookshelf.,TRUE,717,132,scene0030_00,book,25,"['there', 'is', 'a', 'stand', 'alone', 'bookshelf', 'in', 'the', 'corner', 'between', 'the', 'door', 'and', 'the', 'chalkboard', 'select', 'the', 'top', 'row', 'of', 'books', 'on', 'this', 'bookshelf']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
7291,scene0691_00-cabinet-3-0-12-13,The shortest of the cabinets.,TRUE,329,29,scene0691_00,cabinet,0,"['the', 'shortest', 'of', 'the', 'cabinets']",nr3d,TRUE,TRUE,FALSE,FALSE,FALSE
24686,scene0493_00-whiteboard-3-13-11-14,It is the whiteboard on the longest wall of the room.,TRUE,56,132,scene0493_00,whiteboard,13,"['it', 'is', 'the', 'whiteboard', 'on', 'the', 'longest', 'wall', 'of', 'the', 'room']",nr3d,TRUE,TRUE,TRUE,FALSE,TRUE
29565,scene0308_00-cabinet-2-3-26,The correct cabinet is above the shelf and off the ground.,TRUE,411,129,scene0308_00,cabinet,3,"['the', 'correct', 'cabinet', 'is', 'above', 'the', 'shelf', 'and', 'off', 'the', 'ground']",nr3d,TRUE,TRUE,TRUE,TRUE,FALSE
1476,scene0276_00-door-2-30-14,closed white entry door,TRUE,534,564,scene0276_00,door,30,"['closed', 'white', 'entry', 'door']",nr3d,TRUE,TRUE,FALSE,TRUE,FALSE
14130,scene0330_00-coffee_table-4-3-5-16-17,"On the striped rug, select the coffee table near the white stool, the table that doesn't have a plant on it",TRUE,717,454,scene0330_00,coffee table,3,"['on', 'the', 'striped', 'rug', 'select', 'the', 'coffee', 'table', 'near', 'the', 'white', 'stool', 'the', 'table', 'that', 'does', 'not', 'have', 'a', 'plant', 'on', 'it']",nr3d,TRUE,TRUE,TRUE,TRUE,FALSE
3673,scene0236_00-pillow-4-14-12-13-15,"Standing at the foot of the bed, pick the bottom pillow on the right of the bed.",TRUE,70,710,scene0236_00,pillow,14,"['standing', 'at', 'the', 'foot', 'of', 'the', 'bed', 'pick', 'the', 'bottom', 'pillow', 'on', 'the', 'right', 'of', 'the', 'bed']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
16713,scene0110_00-shelf-2-23-29,"standing at the doorway, you want the shelf on the left side",TRUE,67,56,scene0110_00,shelf,23,"['standing', 'at', 'the', 'doorway', 'you', 'want', 'the', 'shelf', 'on', 'the', 'left', 'side']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
21467,scene0042_00-bathroom_stall_door-2-1-15,the fully open stall door closest to the sink,TRUE,220,230,scene0042_00,bathroom stall door,1,"['the', 'fully', 'open', 'stall', 'door', 'closest', 'to', 'the', 'sink']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
16932,scene0268_00-towel-5-14-13-15-16-17,pick the towel that is above two tovels and is bigger.,TRUE,384,220,scene0268_00,towel,14,"['pick', 'the', 'towel', 'that', 'is', 'above', 'two', 'novels', 'and', 'is', 'bigger']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
1720,scene0000_00-table-2-2-35,the table is near the fridge,TRUE,127,125,scene0000_00,table,2,"['the', 'table', 'is', 'near', 'the', 'fridge']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
38350,scene0094_00-sign-2-13-19,The small sign sitting on the counter,TRUE,16,706,scene0094_00,sign,13,"['the', 'small', 'sign', 'sitting', 'on', 'the', 'counter']",nr3d,TRUE,TRUE,TRUE,FALSE,TRUE
35963,scene0177_00-monitor-4-23-3-25-30,"Facing the window, the monitor in the lower right corner.",TRUE,564,320,scene0177_00,monitor,23,"['facing', 'the', 'window', 'the', 'monitor', 'in', 'the', 'lower', 'right', 'corner']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
7236,scene0648_00-book-2-6-5,Directly next to the bed (pillow side) you will find a desk.  On the desk are two books on the far left.  you are looking for the darker book that has white pages.,TRUE,62,13,scene0648_00,book,6,"['directly', 'next', 'to', 'the', 'bed', '(', 'pillow', 'side', ')', 'you', 'will', 'find', 'a', 'desk', 'on', 'the', 'desk', 'are', 'two', 'books', 'on', 'the', 'far', 'left', 'you', 'are', 'looking', 'for', 'the', 'darker', 'book', 'that', 'has', 'white', 'pages']",nr3d,TRUE,TRUE,TRUE,TRUE,FALSE
5179,scene0178_00-door-3-11-35-43,The door closest to the windows.,TRUE,192,562,scene0178_00,door,11,"['the', 'door', 'closest', 'to', 'the', 'windows']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
13810,scene0177_00-pillow-2-16-10,The lower of the two pillows,TRUE,163,4,scene0177_00,pillow,16,"['the', 'lower', 'of', 'the', 'two', 'pillows']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
